segment_type,segment_key,unit_grain,eligible_units,late_units,late_rate,seller_handling_eligible,avg_seller_handling_days,median_seller_handling_days,carrier_transit_eligible,avg_carrier_transit_days,median_carrier_transit_days,avg_promised_window_days,median_promised_window_days,avg_purchase_to_delivery_days,gmv,late_gmv,n_sellers,is_low_sample
product_category,furniture_living_room,seller_order_category,408,31,0.07598039215686274,405,3.3968395919067214,2.1578472222222222,407,10.102684474246974,7.955335648148148,25.220588235294116,24.0,13.911859823211692,67674.66,6501.45,56.0,False
product_category,home_construction,seller_order_category,486,29,0.059670781893004114,476,4.155251030967943,2.8596238425925926,485,8.99634977567774,6.906585648148148,24.89506172839506,24.0,13.452033750571559,83088.12,5802.83,68.0,False
product_category,small_appliances,seller_order_category,603,28,0.04643449419568822,593,2.3551009657423023,1.4559722222222222,601,8.252578206846614,6.352002314814815,24.640132669983416,24.0,10.93795238698483,188987.79,7557.27,105.0,False
product_category,books_technical,seller_order_category,256,21,0.08203125,248,2.524613108572282,1.9023784722222223,254,7.687560331000292,6.133072916666666,21.88671875,22.0,10.634350992838542,18829.06,1131.15,25.0,False
product_category,construction_tools_lights,seller_order_category,243,16,0.06584362139917696,239,2.7077586490779484,2.0313310185185185,243,6.6476098346288675,5.819178240740741,21.271604938271604,22.0,9.830265870294163,41080.0,2338.33,37.0,False
product_category,industry_commerce_and_business,seller_order_category,229,16,0.06986899563318777,222,2.3620139931598265,1.596417824074074,228,8.166513665529564,6.355457175925926,22.67391304347826,22.5,10.85189334667637,39310.01,2305.3,28.0,False
product_category,drinks,seller_order_category,288,15,0.052083333333333336,280,2.8907138723544974,2.09953125,284,7.2920336137193535,5.107962962962963,21.26388888888889,20.0,10.388451163837448,22428.7,878.22,36.0,False
product_category,home_appliances_2,seller_order_category,221,14,0.06334841628959276,216,4.250738650977366,3.223709490740741,220,9.291991266835018,6.85931712962963,25.728506787330318,25.0,13.868488562091503,111191.06,7316.21,45.0,False
product_category,art,seller_order_category,195,12,0.06153846153846154,192,3.5062629605516977,2.713443287037037,195,7.268690823836657,6.002592592592593,24.087179487179487,23.0,11.258495548433048,24202.64,1026.71,36.0,False
product_category,fashion_shoes,seller_order_category,233,11,0.04721030042918455,233,5.249916597122874,4.227465277777778,233,10.19859059569226,8.052974537037038,29.815450643776824,28.0,15.785406582816723,23497.88,1416.02,15.0,False
product_category,fashion_underwear_beach,seller_order_category,115,11,0.09565217391304348,115,3.859556964573269,2.2309953703703704,115,9.795967089371981,7.027581018518519,24.034782608695654,24.0,14.01525513285024,9404.3,688.98,9.0,False
product_category,kitchen_dining_laundry_garden_furniture,seller_order_category,240,11,0.04583333333333333,234,3.1818103038936374,2.137777777777778,240,8.296900077160494,6.755850694444444,23.8375,24.0,11.834759452160494,46073.37,3573.9,52.0,False
product_category,market_place,seller_order_category,264,11,0.041666666666666664,263,3.1263182122236306,2.2678819444444445,263,8.592424042388396,6.931435185185185,25.242424242424242,23.5,12.117680274971942,26625.24,993.99,53.0,False
product_category,air_conditioning,seller_order_category,239,10,0.04184100418410042,235,3.068402827029157,1.9516550925925926,239,8.170452357430653,6.630925925925926,25.08786610878661,25.0,11.63182269874477,52654.17,2921.9,50.0,False
product_category,christmas_supplies,seller_order_category,126,10,0.07936507936507936,125,3.1107353703703704,2.1382060185185185,126,11.938813381834215,8.824085648148149,27.452380952380953,29.0,15.444751708553792,8800.82,1337.67,17.0,False
product_category,computers,seller_order_category,176,10,0.056818181818181816,176,2.871574665930135,2.1463194444444444,176,10.473868371212122,7.845752314814815,25.261363636363637,24.0,13.864478443287037,220763.14,14487.0,8.0,False
product_category,costruction_tools_garden,seller_order_category,192,10,0.052083333333333336,185,2.7399704704704706,1.8584375,191,8.820897202831103,7.309363425925926,25.364583333333332,24.0,11.835920078607254,25715.89,1397.98,33.0,False
product_category,fixed_telephony,seller_order_category,188,10,0.05319148936170213,188,3.193218331363278,2.331990740740741,188,8.975705341312057,6.933831018518519,25.75,25.0,12.587245739755714,58201.0,3259.88,48.0,False
product_category,food_drink,seller_order_category,221,8,0.03619909502262444,219,2.584369662185016,2.1083101851851853,221,7.870946088905647,5.935868055555556,22.15837104072398,22.0,10.818936861069213,15179.48,1175.96,34.0,False
product_category,agro_industry_and_commerce,seller_order_category,175,7,0.04,173,2.4929125187326053,1.5448032407407406,175,8.35281541005291,6.995925925925926,22.53142857142857,22.0,11.465975330687831,72464.5,6723.8,34.0,False
product_category,costruction_tools_tools,seller_order_category,97,6,0.061855670103092786,97,2.31396083906071,1.8483449074074074,97,9.573011526345933,7.854988425925926,24.371134020618555,24.0,12.209838082283314,15903.95,287.9,24.0,True
product_category,furniture_bedroom,seller_order_category,82,6,0.07317073170731707,82,4.1208580341011745,2.9754340277777778,82,9.40924161585366,6.974166666666667,25.70731707317073,24.5,13.913241728771455,19955.58,1134.99,22.0,True
product_category,signaling_and_security,seller_order_category,139,6,0.04316546762589928,135,2.6716695816186555,1.5279050925925926,139,7.630327488009592,5.860393518518518,22.43884892086331,21.0,10.836117189581667,21509.23,964.97,46.0,False
product_category,fashion_male_clothing,seller_order_category,105,5,0.047619047619047616,105,4.125407958553792,2.7274189814814815,105,8.183752755731922,6.944039351851852,25.714285714285715,26.0,12.606871693121693,10646.02,559.4,13.0,False
product_category,furniture_mattress_and_upholstery,seller_order_category,37,5,0.13513513513513514,36,2.555334362139918,1.902627314814815,37,11.645486736736737,6.5005902777777775,21.56756756756757,20.0,14.432969532032033,4368.08,553.7,5.0,True
product_category,cine_photo,seller_order_category,64,4,0.0625,58,1.614840158045977,0.9469039351851852,62,8.428613537933094,6.400671296296297,21.1875,21.0,10.352251157407407,6933.46,450.75,14.0,True
product_category,construction_tools_safety,seller_order_category,159,4,0.025157232704402517,154,3.0294252795815297,1.7061631944444444,159,8.456299571977638,6.583136574074074,24.654088050314467,24.0,11.796912415560215,40544.52,329.75,35.0,False
product_category,dvds_blu_ray,seller_order_category,55,4,0.07272727272727272,55,2.5099736952861953,1.7788425925925926,55,10.042608796296296,8.76170138888889,25.87272727272727,26.0,12.958029882154882,5969.59,163.78,10.0,True
product_category,small_appliances_home_oven_and_coffee,seller_order_category,72,4,0.05555555555555555,70,2.329559523809524,1.8493171296296296,72,7.225535622427984,5.347418981481482,21.40277777777778,20.5,9.927397762345679,47445.71,4049.0,15.0,True
product_category,tablets_printing_image,seller_order_category,79,4,0.05063291139240506,79,3.057228522034693,2.851875,79,9.372342797702766,7.9492824074074075,25.873417721518987,23.0,12.82902587318331,7528.41,390.79,6.0,True
product_category,home_comfort_2,seller_order_category,22,3,0.13636363636363635,22,1.9156776094276093,1.1479976851851852,22,12.68611531986532,9.244710648148148,22.5,24.0,15.102362163299663,687.47,51.6,3.0,True
product_category,books_imported,seller_order_category,50,2,0.04,49,2.6162327569916854,0.9004398148148148,50,5.243503935185185,3.306417824074074,19.22,17.0,8.178885185185186,4639.85,39.98,7.0,True
product_category,fashio_female_clothing,seller_order_category,33,2,0.06060606060606061,33,3.718307379349046,2.7340162037037037,33,8.32768869248036,5.9804050925925925,23.12121212121212,22.0,12.367525953984288,2671.44,308.7,11.0,True
product_category,music,seller_order_category,36,2,0.05555555555555555,36,2.960018325617284,1.7215162037037035,36,8.284513245884774,6.770787037037037,25.166666666666668,26.0,11.656976273148148,6014.55,229.8,18.0,True
product_category,arts_and_craftmanship,seller_order_category,23,1,0.043478260869565216,22,1.5347295875420874,0.8570543981481481,23,3.6125150966183575,2.8635300925925926,12.391304347826088,11.0,5.802743055555555,1814.01,129.49,13.0,True
product_category,fashion_sport,seller_order_category,26,1,0.038461538461538464,26,2.181607905982906,1.0340856481481482,26,8.009740918803418,7.173084490740741,22.807692307692307,22.5,10.644686609686609,2119.51,59.9,10.0,True
product_category,flowers,seller_order_category,29,1,0.034482758620689655,29,2.8544165070242657,2.1646064814814814,29,8.251267560664113,6.916828703703704,23.310344827586206,24.0,11.492039431673053,1110.04,21.6,3.0,True
product_category,portateis_cozinha_e_preparadores_de_alimentos,seller_order_category,13,1,0.07692307692307693,13,1.2918055555555557,0.8283217592592592,13,6.5973406339031335,6.216631944444444,18.0,14.0,8.442662927350428,3968.53,21.52,5.0,True
product_category,cds_dvds_musicals,seller_order_category,12,0,0.0,12,2.3880555555555554,2.38265625,12,8.188052662037038,7.33177662037037,26.583333333333332,26.0,10.920239197530865,730.0,0.0,1.0,True
product_category,diapers_and_hygiene,seller_order_category,24,0,0.0,24,2.9183347800925925,2.6442187500000003,24,6.260673225308642,5.6082581018518525,21.5,19.5,9.644770447530863,1432.69,0.0,7.0,True
product_category,fashion_childrens_clothes,seller_order_category,7,0,0.0,7,1.4056911375661376,0.9395138888888889,7,6.951400462962963,4.930347222222222,24.571428571428573,25.0,8.81947585978836,569.85,0.0,4.0,True
product_category,la_cuisine,seller_order_category,13,0,0.0,13,1.32571047008547,1.1378703703703703,13,6.232953169515669,6.117847222222222,24.153846153846153,24.0,7.744940349002849,2054.99,0.0,2.0,True
product_category,party_supplies,seller_order_category,38,0,0.0,38,1.6950246710526315,1.2808912037037037,38,6.784433479532164,5.709618055555556,23.605263157894736,23.0,8.999704556530215,4485.18,0.0,12.0,True
product_category,pc_gamer,seller_order_category,7,0,0.0,7,2.1397156084656084,1.4915625,7,7.6431117724867725,7.293819444444444,21.142857142857142,23.0,10.335137235449736,1545.95,0.0,2.0,True
product_category,security_and_services,seller_order_category,1,0,0.0,1,0.6784375,0.6784375,1,8.910949074074074,8.910949074074074,24.0,24.0,11.057546296296296,100.0,0.0,1.0,True
seller_activity_cohort,2017-01,seller_order,14372,945,0.06575285276927359,14267,3.0252136210472758,1.8794907407407406,14361,9.599408861480553,7.193240740740741,24.833855145063662,24.0,13.012834666461792,1911169.43,130772.57,137.0,False
seller_activity_cohort,2017-02,seller_order,13192,796,0.060339599757428745,13023,2.720571770635144,1.7642824074074075,13171,9.277571170318067,7.136770833333333,24.321685742439172,24.0,12.376921270852986,1591631.47,120008.66,228.0,False
seller_activity_cohort,2016-10,seller_order,10218,640,0.06263456645136034,10133,2.9751257705388703,2.0099768518518517,10204,9.567479771458542,7.26796875,25.370718340183988,25.0,12.916631965966015,1344793.18,87059.4,111.0,False
seller_activity_cohort,2017-03,seller_order,8665,528,0.06093479515291402,8570,2.8142793011798264,1.891400462962963,8651,9.694234078858363,7.213078703703704,25.594276482806368,25.0,12.87114123576115,1302989.26,90186.87,173.0,False
seller_activity_cohort,2017-07,seller_order,7231,494,0.06831696860738487,7123,2.6075171604374976,1.7845949074074074,7216,9.07453562556459,6.991273148148148,23.06306181717605,23.0,12.08460252155073,952532.29,73894.66,115.0,False
seller_activity_cohort,2017-10,seller_order,5693,457,0.08027402072720885,5600,2.7966040364583336,1.6073148148148149,5685,9.731102780220855,7.213530092592593,23.969611803969787,24.0,12.883575236157464,675830.81,56073.61,147.0,False
seller_activity_cohort,2017-11,seller_order,3986,349,0.08755644756648269,3921,3.2577176699301953,2.0412037037037036,3974,9.584481423814983,7.058431712962963,24.1196688409433,24.0,13.203017624765382,663119.15,59725.43,190.0,False
seller_activity_cohort,2017-04,seller_order,4978,330,0.06629168340699076,4938,3.1154330456925132,2.2828935185185184,4967,10.166755983006361,8.009050925925926,25.380799357300663,25.0,13.663112451732065,634064.87,37394.43,116.0,False
seller_activity_cohort,2017-05,seller_order,4766,297,0.062316407889215275,4739,2.904564131946887,1.9701851851851853,4763,9.651389656767833,7.620150462962963,24.57247744912943,24.0,12.949531990682457,564930.81,35025.05,124.0,False
seller_activity_cohort,2018-01,seller_order,3296,291,0.08828883495145631,3227,2.7580049373629905,1.7935300925925926,3287,9.966585436878162,7.445729166666666,25.139824082499242,25.0,13.075390530188107,513475.73,39602.25,141.0,False
seller_activity_cohort,2017-08,seller_order,3934,287,0.07295373665480427,3886,2.953855155496464,2.1510185185185184,3926,9.756026445845361,7.256255787037038,24.085409252669038,24.0,13.087045986791315,645467.04,39630.72,129.0,False
seller_activity_cohort,2017-09,seller_order,3076,254,0.08257477243172952,3031,2.452286610885052,1.5340393518518518,3069,9.458753401699191,7.0824189814814815,23.009427828348503,23.0,12.324202408581371,426538.52,32421.83,127.0,False
seller_activity_cohort,2018-02,seller_order,2150,197,0.09162790697674418,2109,3.1973988407266916,1.9739583333333333,2147,9.330303141549793,6.470532407407408,23.309302325581395,23.0,12.84734899332472,400666.79,41923.75,120.0,False
seller_activity_cohort,2017-12,seller_order,1912,152,0.0794979079497908,1859,2.2577951233239695,1.4258217592592592,1905,9.295242156362399,6.8195601851851855,22.738493723849373,23.0,11.873840631295522,284239.96,29372.04,90.0,False
seller_activity_cohort,2018-04,seller_order,2378,120,0.050462573591253154,2268,2.2702710925762624,1.4343113425925926,2366,6.810081052761341,5.320381944444444,21.15475189234651,20.0,9.39760316890166,372437.18,22750.38,202.0,False
seller_activity_cohort,2017-06,seller_order,1253,115,0.09177972865123703,1237,2.8781730272612953,1.60625,1251,9.03726045089854,6.895879629629629,22.924980047885075,23.0,12.25761455839319,180265.59,34607.9,76.0,False
seller_activity_cohort,2018-05,seller_order,1708,90,0.05269320843091335,1648,2.230191667509439,1.1496122685185184,1696,6.772405319160552,5.424004629629629,22.03684210526316,21.0,9.289736113821666,246946.09,14097.6,172.0,False
seller_activity_cohort,2018-03,seller_order,1302,71,0.054531490015360985,1246,2.104250648371084,1.1971585648148149,1287,7.831774592434314,6.220509259259259,22.189708141321045,21.0,10.246565255731923,304603.7,15112.75,113.0,False
seller_activity_cohort,2018-06,seller_order,1173,38,0.03239556692242114,1117,2.0617004252461952,1.1770717592592592,1160,5.636848030411877,5.091006944444445,20.375106564364877,20.0,7.971070557450033,169009.18,4672.73,191.0,False
seller_activity_cohort,2018-07,seller_order,810,37,0.04567901234567901,772,2.143373272884283,1.2433506944444446,806,5.335070980953037,5.078315972222223,17.807407407407407,17.0,7.819392189643347,138124.35,11722.95,190.0,False
seller_activity_cohort,2018-08,seller_order,448,19,0.04241071428571429,435,1.9111855576841208,1.1359722222222222,439,4.703700408124526,4.18568287037037,15.633928571428571,14.0,6.886083726025133,69533.78,4592.65,155.0,False
seller_activity_cohort,2016-09,seller_order,246,15,0.06097560975609756,243,2.5298506325255294,1.7671412037037038,244,11.460707109517305,8.290329861111111,26.508130081300813,25.0,14.289076520626317,29030.73,1854.29,2.0,False
