segment_type,segment_key,segment_sort,eligible_orders,late_orders,late_delivery_rate,reviewed_orders,without_usable_review,review_coverage,negative_review_orders,negative_review_rate,avg_review_score,early_reviewed_orders,early_negative_review_orders,early_negative_review_rate,on_time_reviewed_orders,late_reviewed_orders,late_negative_review_orders,late_negative_review_rate,gmv,multi_category_orders,is_low_sample
product_category,furniture_bedroom,0,90,6,0.06666666666666667,89,1,0.9888888888888889,11,0.12359550561797752,4.247191011235955,82,6,0.07317073170731707,1,6,5,0.8333333333333334,19182.94,3,True
product_category,tablets_printing_image,0,78,4,0.05128205128205128,76,2,0.9743589743589743,10,0.13157894736842105,4.144736842105263,72,8,0.1111111111111111,1,3,2,0.6666666666666666,7540.31,2,True
product_category,food_drink,0,218,8,0.03669724770642202,212,6,0.9724770642201835,9,0.04245283018867924,4.443396226415095,198,4,0.020202020202020204,6,8,4,0.5,14873.57,1,False
product_category,costruction_tools_tools,0,97,6,0.061855670103092786,94,3,0.9690721649484536,8,0.0851063829787234,4.425531914893617,89,6,0.06741573033707865,0,5,2,0.4,15903.95,0,True
product_category,dvds_blu_ray,0,55,4,0.07272727272727272,55,0,1.0,8,0.14545454545454545,4.181818181818182,51,4,0.0784313725490196,0,4,4,1.0,4557.59,1,True
product_category,cine_photo,0,62,4,0.06451612903225806,62,0,1.0,6,0.0967741935483871,4.387096774193548,57,4,0.07017543859649122,1,4,2,0.5,6760.37,1,True
product_category,furniture_mattress_and_upholstery,0,37,5,0.13513513513513514,34,3,0.918918918918919,6,0.17647058823529413,3.911764705882353,29,3,0.10344827586206896,0,5,3,0.6,4323.38,0,True
product_category,party_supplies,0,37,0,0.0,37,0,1.0,6,0.16216216216216217,4.081081081081081,36,6,0.16666666666666666,1,0,0,,4385.29,0,True
product_category,books_imported,0,50,2,0.04,50,0,1.0,5,0.1,4.44,48,3,0.0625,0,2,2,1.0,4431.36,1,True
product_category,fashio_female_clothing,0,35,2,0.05714285714285714,35,0,1.0,5,0.14285714285714285,3.9714285714285715,33,4,0.12121212121212122,0,2,1,0.5,2570.04,0,True
product_category,small_appliances_home_oven_and_coffee,0,72,4,0.05555555555555555,71,1,0.9861111111111112,5,0.07042253521126761,4.422535211267606,66,3,0.045454545454545456,1,4,2,0.5,46589.56,0,True
product_category,home_comfort_2,0,22,3,0.13636363636363635,21,1,0.9545454545454546,4,0.19047619047619047,3.9047619047619047,17,1,0.058823529411764705,1,3,2,0.6666666666666666,734.47,0,True
product_category,diapers_and_hygiene,0,25,0,0.0,25,0,1.0,3,0.12,3.96,24,3,0.125,1,0,0,,1500.79,0,True
product_category,portateis_cozinha_e_preparadores_de_alimentos,0,13,1,0.07692307692307693,13,0,1.0,3,0.23076923076923078,3.6153846153846154,12,3,0.25,0,1,0,0.0,3933.63,0,True
product_category,arts_and_craftmanship,0,22,1,0.045454545454545456,22,0,1.0,2,0.09090909090909091,4.318181818181818,20,0,0.0,1,1,1,1.0,1824.08,1,True
product_category,fashion_sport,0,25,1,0.04,25,0,1.0,2,0.08,4.44,23,2,0.08695652173913043,1,1,0,0.0,2099.52,1,True
product_category,la_cuisine,0,13,0,0.0,11,2,0.8461538461538461,2,0.18181818181818182,4.181818181818182,11,2,0.18181818181818182,0,0,0,,2166.98,2,True
product_category,music,0,36,2,0.05555555555555555,35,1,0.9722222222222222,2,0.05714285714285714,4.371428571428571,32,0,0.0,1,2,2,1.0,5956.48,0,True
product_category,pc_gamer,0,7,0,0.0,7,0,1.0,2,0.2857142857142857,3.4285714285714284,7,2,0.2857142857142857,0,0,0,,1331.95,1,True
product_category,flowers,0,28,1,0.03571428571428571,27,1,0.9642857142857143,1,0.037037037037037035,4.518518518518518,26,0,0.0,0,1,1,1.0,1066.54,1,True
product_category,security_and_services,0,2,0,0.0,2,0,1.0,1,0.5,2.5,2,1,0.5,0,0,0,,283.29,0,True
product_category,cds_dvds_musicals,0,12,0,0.0,12,0,1.0,0,0.0,4.666666666666667,12,0,0.0,0,0,0,,730.0,0,True
product_category,fashion_childrens_clothes,0,6,0,0.0,6,0,1.0,0,0.0,5.0,6,0,0.0,0,0,0,,509.95,1,True
purchase_sequence,first_order,1,93248,6344,0.06803363074811256,92113,1135,0.9878281571722718,11762,0.1276909882427019,4.156112600827245,84720,7759,0.09158404154863078,1230,6163,3850,0.6246957650494889,12819802.25,727,False
purchase_sequence,repeat_order,2,3222,190,0.058969584109248914,2661,561,0.8258845437616388,270,0.10146561443066517,4.296880871852687,2483,186,0.07490938380990737,34,144,82,0.5694444444444444,400446.68,53,False
